Auteur,Coauteurs,Date,Langue,Titre,Summary
Wu Guangmei,Xu Gong de Koster Zou,16/03/2019,anglais,Optimal Design and Planning for Compact Automated Parking Systems,"Compact automated parking (CAP) systems are fully automated parking systems, which store cars densely. Such systems are mainly used in congested cities all over the world, providing rapid parking access and safe vehicle storage. We study a prominent new technology, with relatively low cost and rapid response. The system has a rotating ring equipped with shuttles in each tier for horizontal transport, and uses two lifts in the middle of the CAP system for vertical transport. We present a dedicated lift operating policy under which it uses one lift for storage and another for retrieval, and a general operating policy under which it uses both lifts for storage and retrieval. We propose queuing networks for single-tier and multi-tier systems based on two different policies for operating the lifts (a dedicated and general operating policy). We validate the analytical models using simulation based on a real application. We also conduct a sensitivity analysis in which we vary speeds of lifts and car rotation. Then we use the analytical models to optimize the system layout by minimizing the retrieval time. Furthermore, combining time efficiency and system cost, we find an appropriate system layout for designers. Third, we compare two lifts under dedicated and general operating policies. Forth, we find the optimal number of the lifts through a general compact automated parking system. Finally, we calculate the investment cost of a CAP system under different system configurations and compare it with an alternative design: a cubic parking system."
Bai Qingguo,Gong Jin Xu,01/02/2019,anglais,Effects of carbon emission reduction on supply chain coordination with vendor-managed deteriorating product inventory,"While many supply chains use vendor-managed inventory (VMI) to handle deteriorating products, they employ special facilities (e.g., cold warehouses), which produce significant carbon emissions. This new operational practice motivates us to investigate the effects of carbon emission reduction on a supply chain with one manufacturer and two competing retailers for deteriorating products under VMI, which has not been fully studied in the existing literature. Carbon cap-and-trade regulation and investment in green technologies are used to curb carbon emissions generated by production and inventory holding in this system. To bench mark the performance of the decentralized system, an optimization model for the centralized system is formulated to show that there exists an upper bound on the profit penalty for decentralization and the carbon emissions of the centralized system may be lower than those of the decentralized system. A revenue-sharing contract is then proposed to improve the profit and emissions of the decentralized system. The results show that the supply chain can be coordinated perfectly when the demand depends on the manufacturer's green technology level and two competing retailers' selling prices. Numerical examples with sensitivity analysis are further provided to test the robustness of the supply chain's operational decisions."
Bertoni Fabio,Marti Reverte,01/02/2019,anglais,The impact of government-supported participative loans on the growth of entrepreneurial ventures,"We study the employment and sales growth of entrepreneurial ventures that have received a government-sponsored participative loan (PL), a hybrid form of financing between debt and equity. We use propensity-score matching (PSM) and instrumental variable analysis (2SLS) to study a sample of 512 entrepreneurial ventures that received a PL from a Spanish government agency between 2005 and 2011. We find evidence that PLs significantly boosted their beneficiaries’ employment and sales. In the two years following loan issuance, a 1-million-Euro PL generated an increase in average employment of between 12.1 (PSM) and 14.7 (2SLS) units and an increase in sales of between 1.09 and 1.97 million Euro relative to the average for the two years prior to loan issuance. The effect is larger for high-tech, young and small entrepreneurial ventures and for those that received a PL during the global financial crisis. The effect on growth is significant and stable, and PLs increase their beneficiaries’ annual growth by 10.6% for employment and by 18.0% for sales. We do not find evidence of industry or regional spillovers, nor do we find differences in the probability of survival of PL beneficiaries after we control for their characteristics."
Houy Nicolas,Le Grand,14/01/2019,anglais,Optimizing immune cell therapies with artificial intelligence,"Purpose: We determine an optimal injection pattern for anti-vascular endothelial growth factor (VEGF) and for the combination of anti-VEGF and unlicensed dendritic cells. Methods: We rely on the mathematical model of Soto-Ortiz and Finley (2016) for the interactions between the tumor growth, angiogenesis and immune system reactions. Our optimization algorithm belongs to the class of Monte-Carlo tree search algorithms. The objective consists in finding the minimal total drug doses for which an injection pattern yields tumor eradication. Results: Our results are twofold. First, optimized injection protocols enable to significantly reduce the total drug dose for tumor elimination. For instance, for an early diagnosis date, a total dose equal to 58% of the standard anti-VEGF dose enables to eliminate the tumor. In the case of drug combination, associating 25% of the total standard anti-VEGF dose to 10% of the dendritic cell total standard dose eradicates tumor. Our second result is that administering a dose equal to the maximal standard dose allows for later diagnosis date compared to standard protocol. For instance, in the case of anti-VEGF injection, the optimal protocol postpones the maximal diagnosis date by more than one month. Conclusions. Overall, our optimization based on artificial intelligence delivers significant gains in total drug administration or in the length of the therapeutic window. Our method is flexible and could be adapted to other drug combinations."
Guida Tony,Coqueret,01/01/2019,anglais,Ensemble Learning Applied to Quant Equity,"This chapter proposes to benefit from the advantages of machine learning (ML) in general and boosted trees in particular, e.g. non‐linearity, regularization and good generalization results, scaling up well with lots of data. It gives a mildly technical introduction to boosted trees. The chapter introduces the construction of the dataset with the feature and labels engineering, and the calibration of the ML applying rigorous protocol established by the computer science community. It describes the data used and the empirical protocol for the ML model. The chapter also introduces the concept of confusion matrix and all the related metrics in order to precisely assess a ML model's quality. It provides guidance on how to tune, train and test an ML‐based model using traditional financial characteristics such as valuation and profitability metrics, but also price momentum, risk estimates, volume and liquidity characteristic."
Le Grand François,,01/01/2019,anglais,Perron–Frobenius theory recovers more than you might think,"In their seminal article, Hansen and Scheinkman (2009) proved that Perron–Frobenius theory helps to recover a probability measure that can be used to price long-term claims. In this paper, we show that the recovered probability also contains information about market structure. More precisely, we provide an example in which Perron–Frobenius theory can be used to measure the degree of limited market participation."
Lindvert Marta,Patel Smith,01/01/2019,anglais,Microfinance traps and relational exchange norms,"In interdependent social groups, microfinance traps occur when conflicts arise between borrowers’ affective ties related to family needs and instrumental ties related to obligations toward their loan group. Thus, the social capital that facilitates microfinancing can lead to conflicting obligations toward business needs and economic obligations toward family. Building on an inductive field study among female entrepreneurs in Tanzania, we conceptualize microfinance traps. By using relational contract theory to interpret the qualitative data, we argue that microfinance traps can be reduced by balancing role integrity, preserving norms and reciprocity, and harmonizing the social matrix toward the family and loan group."
Klofsten Magnus,Fayolle Guerrero Mian Urbano Wright,24/12/2018,anglais,The entrepreneurial university as driver for economic growth and social change,"Limitations of the research on the various leadership and strategic issues facing universities seeking to become more entrepreneurial has led this special issue to focus on the management, development, and implementation of this vision. We have solicited original research on the strategic challenges that these universities currently encounter. Researchers in management and related disciplines have contributed to this field of inquiry, which is having growing implications for our universities and stakeholders in the social and economic spheres. We begin by tracing an overarching framework, to which we add brief descriptions of the contributing papers in this special issue. To conclude, we outline future research goals and discuss how, around the world, academic actors involved in university development - such as university managers and policy makers - could view the ideas presented here."
Foliard Stéphane,Le Pontois Fayolle Diermann,10/12/2018,anglais,The Legitimacy of Teachers in Entrepreneurship Education,"Entrepreneurship teachers (ETs) evolve in an environment where different categories of people interact: students, teachers and stakeholders. Assuming one or more identities or roles, teachers, practitioners, ex-entrepreneurs and/ or researchers are the ‘transmitters’1 of entrepreneurship education (EE). The question of recognition of teachers’ professional status is not always addressed (Hargreaves, 2000). Scientific research in EE shows certain weaknesses (Byrne, Fayolle, & Toutain, 2014; Fayolle, 2013), notably, a lack of interest in questions of (i) the perceived legitimacy of ETs and (ii) the support they receive in carrying out their work (particularly professional development). Taking a decidedly multidisciplinary perspective, this chapter aims to deal with the question of the perceived legitimacy of ETs using a literature review that covers all disciplines having shown an interest in the notion of teacher legitimacy. The legitimacy of EE depends on the interactions between legitimate instructors and legitimate students in a given context, which respects certain collectively accepted norms. It also depends on the context and the objective of EE. Following the example of a university hospital worker (doctor), ETs can be practitioners, teachers and researchers. Their degree of expertise, position in the institution, positioning in relation to other actors – students, peers, colleagues, institutional and professional stakeholders – and the discourse they use are the elements that constitute their legitimacy."
Aliaga-Isla Rocío,Huybrechts,01/12/2018,anglais,From “Push Out” to “Pull In” Together,"Definitions are important! They are composed of words that express what people think. Despite numerous efforts to bring about a clear and unbiased definition of social entrepreneurship, there is still confusion as how social entrepreneurship should be defined. The objective of this paper is not to state a novel definition, this means not to push out"", but rather to ""pull in"" together to better understand what the scholars are talking about through their own social entrepreneurship (SE) definitions. In doing so, we contribute to the literature by synthesizing and analysing the SE definitions to better understand the field. To do so, a combination of methods was used: systematic review to reach the articles proposing definitions and memetic analysis to understand the content of the definitions by analysing their memes. From the analysis, three main categories were considered: entity types, entrepreneurial opportunities and intentions/promises. Future research lines and implications are highlighted."""
Allali Jérémy,Le Courtois Majri,01/12/2018,anglais,Credit risk and solvency capital requirements,"Credit risk permeates the assets of most insurance companies. This article develops a framework for computing credit capital requirements under the constant position paradigm and taking into account recovery rates. Although this framework was originally derived under the Solvency 2 regulation, it also provides concepts that can be useful under other international regulations. After a brief survey of the existing technology on rating transitions and default probabilities, the paper provides new results on risk premium adjustment factors. Then, three different procedures for reconstructing constant position market-consistent histories of credit portfolios from quoted Merrill Lynch indices are given. The reconstructed historical credit values are modeled via mixed empirical-Generalized Pareto Distribution (GPD) dynamics and a detailed parameter estimation is performed. Several validations of the estimation are also provided. Finally, credit Solvency Capital Requirements are computed and an analysis of the results per rating class is given."
